Visitor,Visitor pts,Home,Home pts,Winner
Houston Rockets,133,Dallas Mavericks,108,0
Denver Nuggets,120,Phoenix Suns,112,0
Golden State Warriors,108,Utah Jazz,127,1
Toronto Raptors,107,Indiana Pacers,102,0
Oklahoma City Thunder,100,Los Angeles Clippers,108,1
Cleveland Cavaliers,103,Boston Celtics,141,1
Charlotte Hornets,107,Orlando Magic,104,0
Atlanta Hawks,115,Milwaukee Bucks,129,1
Washington Wizards,101,San Antonio Spurs,121,1
New York Knicks,113,Portland Trail Blazers,116,1
Philadelphia 76ers,104,Detroit Pistons,119,1
Toronto Raptors,114,Indiana Pacers,129,1
Charlotte Hornets,108,Orlando Magic,117,1
Miami Heat,85,Brooklyn Nets,98,1
Los Angeles Lakers,115,Cleveland Cavaliers,108,0
Denver Nuggets,117,Dallas Mavericks,113,0
Boston Celtics,119,Chicago Bulls,103,0
Minnesota Timberwolves,108,Golden State Warriors,130,1
Oklahoma City Thunder,125,Portland Trail Blazers,122,0
Los Angeles Clippers,99,Atlanta Hawks,108,1
Washington Wizards,88,Houston Rockets,107,1
New York Knicks,94,Utah Jazz,108,1
Indiana Pacers,116,Charlotte Hornets,106,0
Detroit Pistons,107,Cleveland Cavaliers,122,1
Sacramento Kings,121,Orlando Magic,107,0
Brooklyn Nets,132,Atlanta Hawks,128,0
Denver Nuggets,109,Miami Heat,82,0
Los Angeles Lakers,106,Philadelphia 76ers,107,1
Milwaukee Bucks,115,Toronto Raptors,108,0
Boston Celtics,106,San Antonio Spurs,110,1
Washington Wizards,106,New Orleans Pelicans,124,1
Oklahoma City Thunder,102,Phoenix Suns,97,0
Dallas Mavericks,104,Utah Jazz,116,1
Minnesota Timberwolves,111,Golden State Warriors,123,1
Portland Trail Blazers,101,Houston Rockets,104,1
Los Angeles Lakers,92,Detroit Pistons,107,1
Los Angeles Clippers,109,Miami Heat,105,0
Golden State Warriors,93,Phoenix Suns,114,1
Indiana Pacers,105,Charlotte Hornets,108,1
Atlanta Hawks,116,Washington Wizards,100,0
Milwaukee Bucks,126,New Orleans Pelicans,131,1
Cleveland Cavaliers,81,New York Knicks,102,1
Sacramento Kings,126,Toronto Raptors,124,0
Philadelphia 76ers,118,Minnesota Timberwolves,94,0
Brooklyn Nets,147,Oklahoma City Thunder,125,0
Los Angeles Clippers,116,Orlando Magic,90,0
Denver Nuggets,109,San Antonio Spurs,119,1
Dallas Mavericks,101,Utah Jazz,120,1
Portland Trail Blazers,123,Chicago Bulls,122,0
Milwaukee Bucks,114,Charlotte Hornets,126,1
Sacramento Kings,104,Miami Heat,105,1
Houston Rockets,126,New Orleans Pelicans,112,0
Los Angeles Lakers,96,Boston Celtics,95,0
Memphis Grizzlies,129,San Antonio Spurs,112,0
Phoenix Suns,111,Dallas Mavericks,105,0
Detroit Pistons,91,Golden State Warriors,118,1
Los Angeles Clippers,129,New York Knicks,115,0
Utah Jazz,117,Denver Nuggets,128,1
Philadelphia 76ers,119,Indiana Pacers,110,0
Orlando Magic,102,Toronto Raptors,115,1
Brooklyn Nets,146,Washington Wizards,149,1
Cleveland Cavaliers,104,Minnesota Timberwolves,109,1
Los Angeles Lakers,107,Atlanta Hawks,99,0
Charlotte Hornets,129,Miami Heat,121,0
New York Knicks,102,Chicago Bulls,110,1
Minnesota Timberwolves,98,Cleveland Cavaliers,100,1
Portland Trail Blazers,106,Milwaukee Bucks,134,1
Sacramento Kings,118,New Orleans Pelicans,109,0
Houston Rockets,136,Oklahoma City Thunder,106,0
Phoenix Suns,109,Dallas Mavericks,108,0
Memphis Grizzlies,133,San Antonio Spurs,102,0
Toronto Raptors,123,Orlando Magic,108,0
Los Angeles Clippers,120,Brooklyn Nets,124,1
Memphis Grizzlies,116,Indiana Pacers,134,1
Portland Trail Blazers,132,Washington Wizards,121,0
Boston Celtics,111,Golden State Warriors,107,0
Detroit Pistons,105,Utah Jazz,117,1
Philadelphia 76ers,118,Charlotte Hornets,111,0
Indiana Pacers,110,Milwaukee Bucks,130,1
Dallas Mavericks,122,Atlanta Hawks,116,0
New York Knicks,107,Chicago Bulls,103,0
Los Angeles Clippers,121,Cleveland Cavaliers,99,0
Washington Wizards,103,Miami Heat,100,0
Houston Rockets,87,Oklahoma City Thunder,104,1
Minnesota Timberwolves,108,San Antonio Spurs,111,1
Phoenix Suns,101,New Orleans Pelicans,123,1
Boston Celtics,111,Sacramento Kings,116,1
Utah Jazz,112,Atlanta Hawks,91,0
Golden State Warriors,147,Dallas Mavericks,116,0
Portland Trail Blazers,121,Philadelphia 76ers,105,0
Houston Rockets,115,Memphis Grizzlies,103,0
Denver Nuggets,93,Los Angeles Lakers,114,1
New Orleans Pelicans,114,Indiana Pacers,113,0
Chicago Bulls,119,Orlando Magic,123,1
Toronto Raptors,123,Brooklyn Nets,117,0
Milwaukee Bucks,123,Cleveland Cavaliers,105,0
Utah Jazz,138,Charlotte Hornets,121,0
Washington Wizards,95,Miami Heat,122,1
Minnesota Timberwolves,106,Oklahoma City Thunder,103,0
Detroit Pistons,92,Phoenix Suns,109,1
Boston Celtics,119,Los Angeles Clippers,115,0
Portland Trail Blazers,99,New York Knicks,110,1
Denver Nuggets,114,Sacramento Kings,119,1
Chicago Bulls,118,Orlando Magic,92,0
Toronto Raptors,121,Atlanta Hawks,132,1
Milwaukee Bucks,124,Cleveland Cavaliers,99,0
San Antonio Spurs,111,Houston Rockets,106,0
Minnesota Timberwolves,118,Oklahoma City Thunder,120,1
